City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
295,Acapulco,MX,78.62,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
296,Moron,AR,79.02,overcast clouds,-34.6534,-58.6198,Hotel Morón
313,Limbang,MY,84.31,overcast clouds,4.75,115.0,Purnama Hotel
314,Pangai,TO,82.29,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
324,Vao,NC,77.65,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
325,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
329,Anloga,GH,79.07,few clouds,5.7947,0.8973,Pin Drop Hotel
332,Nelson Bay,AU,79.29,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
337,Wanning,CN,76.37,overcast clouds,18.8003,110.3967,Paradise Hotel
338,Gorontalo,ID,87.08,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
341,Port Blair,IN,84.24,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
342,Ahuimanu,US,78.51,few clouds,21.4447,-157.8378,Paradise Bay Resort
349,Gondanglegi,ID,86.18,broken clouds,-7.7479,112.0132,Rumah Mujiatin
357,Georgetown,MY,84.15,haze,5.4112,100.3354,Cititel Penang
361,Fare,PF,80.96,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
363,Outram,MY,86.79,broken clouds,1.2829,103.8379,Grand Copthorne Waterfront
369,Phuket,TH,84.42,few clouds,8.0,98.25,The Surin
379,Rosario Oeste,BR,76.15,light rain,-14.8361,-56.4275,Alvorada Palace accomodation
380,Trinidad,BO,76.37,broken clouds,-14.8333,-64.9,Hotel Piesta
385,Sa Kaeo,TH,86.65,broken clouds,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
388,Bengkulu,ID,80.49,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
390,Qui Nhon,VN,76.82,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
392,Mitsamiouli,KM,80.89,broken clouds,-11.3847,43.2844,Foyer ADM
402,Gizo,SB,84.31,overcast clouds,-8.103,156.8419,Imagination Island
408,Faanui,PF,81.07,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
409,Bataipora,BR,75.45,overcast clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
418,Riohacha,CO,75.45,overcast clouds,11.5444,-72.9072,Hotel Taroa
425,Melur,IN,80.42,overcast clouds,10.05,78.3333,hotel temple city
433,Tairua,NZ,78.26,broken clouds,-37.0167,175.85,Pacific Harbour Villas
438,Kochi,IN,75.18,overcast clouds,9.9399,76.2602,Hotel Abad
442,Mangaratiba,BR,77.04,clear sky,-22.9597,-44.0406,Portobello Resort & Safari
447,Jertih,MY,84.07,broken clouds,5.7336,102.4897,One Utama Hotel
450,Ulladulla,AU,83.77,overcast clouds,-35.35,150.4667,Sandpiper Motel
451,Banyuwangi,ID,88.81,broken clouds,-8.2325,114.3576,Dannu's Homestay
454,Diamantino,BR,75.67,overcast clouds,-14.4086,-56.4461,Hotel Delta
458,Sao Joao Da Barra,BR,75.38,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
467,Port Shepstone,ZA,75.04,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
468,Cabul-An,PH,86.09,broken clouds,10.15,124.05,Pandanon floating cottage
470,Quatre Cocos,MU,79.09,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
474,Salinopolis,BR,78.6,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
479,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
480,Takoradi,GH,76.78,clear sky,4.8845,-1.7554,Raybow International Hotel
482,Savannah Bight,HN,79.0,clear sky,16.45,-85.85,Villa on Dunbar Rock
485,Sinnamary,GF,75.85,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
492,Boueni,YT,78.78,moderate rain,-12.9025,45.0761,The feet in water
493,Mana,GF,76.12,broken clouds,5.6592,-53.7767,LE SAMANA
497,Ciudad Bolivar,VE,77.14,overcast clouds,8.1222,-63.5497,Hotel Edi
499,Carayao,PY,80.28,broken clouds,-25.1833,-56.4,Familia Gimenez
500,Sola,VU,81.82,overcast clouds,-13.8833,167.55,Leumerus Bungalows
503,Oriximina,BR,78.22,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
505,Auki,SB,81.23,overcast clouds,-8.7676,160.7034,Auki Motel
509,Sibolga,ID,76.96,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
